A_MARITL,A_SEX,PEAFEVER,PARENT,PENATVTY,PEFNTVTY,PEHSPNON,PEINUSYR,PEPAR1TYP,PRCITSHP,PRDTRACE,ERN_SRCE,WSAL_VAL,ANN_VAL,A_HGA
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,36
5,2,2,0,57,57,2,0,-1,1,1,0,0,0,42
7,2,2,0,57,57,2,0,-1,1,1,1,22226,0,42
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,1,2,0,57,57,2,0,-1,1,1,1,25000,0,40
5,1,2,0,57,57,2,0,-1,1,1,1,68000,0,40
1,1,2,0,57,57,2,0,-1,1,1,1,150000,0,42
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,42
4,1,1,0,57,301,2,0,-1,1,1,0,0,0,39
7,1,2,0,57,57,2,0,1,1,1,0,0,0,37
1,2,2,0,57,57,2,0,-1,1,1,1,49000,0,43
1,1,2,0,57,57,2,0,-1,1,1,1,120000,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,80000,0,43
1,2,2,0,57,57,1,0,-1,1,1,1,60000,0,43
1,2,2,0,57,57,2,0,-1,1,1,1,47000,0,43
1,1,2,0,57,57,2,0,-1,1,1,1,41000,0,42
7,2,2,0,57,57,2,0,1,1,1,1,86000,0,40
7,2,2,0,57,57,2,0,1,1,1,1,12000,0,40
1,1,2,0,57,57,2,0,-1,1,1,1,68000,0,43
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,40
7,1,-1,1,57,57,2,0,1,1,1,0,0,0,0
5,1,2,0,57,332,1,0,1,1,2,1,62000,0,43
7,2,2,0,57,57,1,0,-1,1,2,1,65000,0,43
4,2,2,0,313,313,1,4,-1,5,2,0,0,0,43
5,1,2,0,57,57,2,0,-1,1,1,1,51000,0,40
7,2,-1,3,57,57,2,0,-1,1,1,0,0,0,34
7,2,-1,3,57,57,2,0,-1,1,1,1,24000,0,34
7,1,-1,3,57,57,2,0,-1,1,1,0,0,0,0
5,2,2,0,57,57,2,0,-1,1,1,1,80000,0,43
7,2,-1,2,57,57,2,0,1,1,1,1,400,0,35
7,1,-1,2,57,57,2,0,1,1,1,0,0,0,0
1,2,2,0,57,57,2,0,-1,1,1,1,78000,0,43
1,1,2,0,57,57,2,0,-1,1,1,1,42000,0,40
7,1,-1,1,57,57,2,0,1,1,1,0,0,0,35
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,1,-1,4,57,57,2,0,-1,1,1,1,2000,0,35
5,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,40
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,43
1,2,2,0,57,57,2,0,-1,1,1,1,17000,0,39
1,1,2,0,57,57,2,0,-1,1,1,1,27000,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,34000,0,39
1,1,1,0,57,57,2,0,-1,1,1,1,120000,0,39
5,1,2,0,57,57,2,0,-1,1,1,0,0,0,32
1,1,1,0,57,117,2,0,-1,1,1,1,149000,0,43
1,2,2,0,57,57,2,0,-1,1,1,1,56000,0,43
7,1,-1,1,57,57,2,0,1,1,1,1,3100,0,36
7,1,2,0,57,57,2,0,-1,1,1,1,16000,0,40
5,2,2,0,57,57,2,0,-1,1,1,1,36000,0,40
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,43
7,2,2,0,57,57,2,0,-1,1,1,1,49000,0,43
7,2,-1,2,57,57,2,0,1,1,1,0,0,0,0
4,1,2,0,57,57,2,0,-1,1,1,1,70000,0,41
1,2,2,0,57,57,2,0,-1,1,1,1,65600,0,40
1,1,2,0,57,57,2,0,-1,1,1,2,0,0,43
4,1,2,0,57,57,2,0,-1,1,1,0,0,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,40000,0,39
1,1,2,0,57,57,2,0,-1,1,1,1,64000,0,40
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,43
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
5,1,2,0,57,57,2,0,-1,1,1,1,40000,0,39
7,2,-1,4,57,57,2,0,-1,1,1,0,0,0,0
1,2,2,0,57,57,2,0,-1,1,1,1,1912,0,40
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,40
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,26864,0,39
1,1,2,0,57,57,2,0,-1,1,1,1,31041,0,39
7,1,2,0,57,57,2,0,1,1,1,0,0,0,37
5,2,2,0,57,57,2,0,-1,1,1,1,5000,0,40
7,1,-1,2,57,57,2,0,1,1,1,0,0,0,36
7,1,-1,2,57,57,2,0,1,1,1,0,0,0,0
7,2,-1,2,57,57,2,0,1,1,1,0,0,0,0
5,1,2,0,57,57,2,0,-1,1,1,2,0,0,37
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,34
5,2,2,0,57,57,2,0,-1,1,1,1,43000,0,43
7,1,2,0,57,57,2,0,1,1,1,0,0,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,90000,0,41
1,1,2,0,57,57,2,0,-1,1,1,1,65000,0,41
7,1,2,0,57,57,2,0,1,1,1,1,55000,0,41
7,2,2,0,57,57,2,0,1,1,1,1,20000,0,40
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,30000,0,39
5,2,2,0,57,57,2,0,-1,1,1,1,8000,0,39
5,1,1,0,57,57,2,0,-1,1,1,0,0,0,39
5,2,2,0,57,57,2,0,-1,1,1,1,33000,0,42
7,1,2,0,57,57,2,0,-1,1,1,1,35000,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,1559,0,42
1,1,2,0,57,57,2,0,-1,1,1,1,70000,0,39
